,statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red
seq720_[chr17:77923711-77923881],38.99830471,7.16E-07,6.38E-06,6,88,18,12
seq721_[chr17:77924147-77924317],29.29854025,5.34E-05,0.000334007,6,99,18,12
seq722_[chr17:79316610-79316780],152.6455286,2.13E-30,1.42E-28,6,98,18,12
seq723_[chr17:79320071-79320241],24.14700504,0.000490718,0.002429875,6,99,18,12
seq724_[chr17:79885564-79885734],76.19257715,2.18E-14,4.72E-13,6,99,18,12
seq725_[chr17:80132205-80132375],25.10766311,0.000326131,0.001710262,6,88,18,12
seq726_[chr18:3554154-3554324],47.87339719,1.25E-08,1.41E-07,6,90,18,12
seq727_[chr18:3585098-3585268],5.392504769,0.494542968,0.646420338,6,73,18,12
seq728_[chr18:3585878-3586048],11.81609582,0.066199501,0.153887845,6,99,18,12
seq729_[chr18:3623937-3624107],9.157161525,0.164930432,0.305758296,6,94,18,12
seq73_[chr1:58497252-58497422],5.43760665,0.489029635,0.642393958,6,78,18,12
seq730_[chr18:6557262-6557432],11.29758797,0.079603188,0.178805137,6,85,18,12
seq731_[chr18:6566519-6566689],9.355226944,0.154563812,0.291613311,6,83,18,12
seq732_[chr18:6752629-6752799],12.1069587,0.059624784,0.141821807,6,84,18,12
seq733_[chr18:8778513-8778683],13.94127388,0.030299091,0.082871436,6,95,18,12
seq734_[chr18:8891025-8891195],44.23109839,6.65E-08,6.87E-07,6,84,18,12
seq735_[chr18:9742241-9742411],2.691298133,0.846474053,0.906717683,6,83,18,12
seq736_[chr18:12336443-12336613],20.59843396,0.002165519,0.008916449,6,84,18,12
seq737_[chr18:13239322-13239492],49.47351966,5.99E-09,7.07E-08,6,86,18,12
seq738_[chr18:18822279-18822449],10.64492315,0.099990236,0.213467052,6,99,18,12
seq739_[chr18:18844708-18844878],9.477602277,0.148445763,0.283483523,6,82,18,12
seq74_[chr1:58623768-58623938],23.98610442,0.000525341,0.002577361,6,88,18,12
seq740_[chr18:18922490-18922660],5.445442797,0.488075056,0.641772927,6,79,18,12
seq741_[chr18:18946936-18947106],4.638489342,0.590941953,0.724801732,6,83,18,12
seq742_[chr18:18966926-18967096],42.02344572,1.82E-07,1.78E-06,6,84,18,12
seq743_[chr18:19613123-19613293],3.688464768,0.718749562,0.818238936,6,82,18,12
seq744_[chr18:20674502-20674672],50.7728008,3.29E-09,3.97E-08,6,85,18,12
seq745_[chr18:20839900-20840070],21.31938938,0.00160724,0.006894825,6,99,18,12
seq746_[chr18:20840316-20840486],8.451195662,0.206875031,0.359266676,6,80,18,12
seq747_[chr18:34028904-34029074],4.352538732,0.629083589,0.756918696,6,79,18,12
seq748_[chr18:34061249-34061419],1.833795019,0.934332109,0.959545388,6,56,18,12
seq749_[chr18:34379253-34379423],10.13482382,0.119087919,0.242336627,6,87,18,12
seq75_[chr1:62646913-62647083],13.49636173,0.035796973,0.095458595,6,81,18,12
seq750_[chr18:34527706-34527876],5.737827674,0.453190214,0.613575701,6,80,18,12
seq751_[chr18:35065336-35065506],4.945506555,0.550821124,0.693472342,6,36,18,12
seq752_[chr18:38891604-38891774],11.84615818,0.065490151,0.152638463,6,83,18,12
seq753_[chr18:40321979-40322149],7.032527266,0.317849575,0.480835472,6,87,18,12
seq756_[chr18:42260666-42260836],14.34276179,0.026033091,0.073233531,6,97,18,12
seq757_[chr18:42324277-42324447],11.84353646,0.065551733,0.15264844,6,97,18,12
seq758_[chr18:43340625-43340795],1.667809276,0.947579292,0.966974166,6,77,18,12
seq759_[chr18:44634775-44634945],7.215289641,0.301395569,0.462243982,6,72,18,12
seq76_[chr1:62660239-62660409],8.925499539,0.177811481,0.322018889,6,99,18,12
seq760_[chr18:48274877-48275047],9.239726454,0.160538106,0.299674497,6,87,18,12
seq761_[chr18:48944395-48944565],19.04591867,0.004086782,0.015334068,6,64,18,12
seq762_[chr18:49587418-49587588],6.267081769,0.393946153,0.559718694,6,72,18,12
seq763_[chr18:52274871-52275041],54.62646597,5.51E-10,7.31E-09,6,71,18,12
seq764_[chr18:53435513-53435683],12.77779411,0.046703481,0.116387346,6,73,18,12
seq765_[chr18:53665545-53665715],12.29957033,0.05560987,0.134676995,6,87,18,12
seq766_[chr18:56475718-56475888],34.51256552,5.36E-06,4.21E-05,6,89,18,12
seq767_[chr18:56514870-56515040],21.00196341,0.001833126,0.0077026,6,99,18,12
seq768_[chr18:57531524-57531694],4.319749328,0.633491544,0.760532435,6,70,18,12
seq769_[chr18:57567237-57567407],11.21245654,0.082027995,0.183017235,6,94,18,12
seq77_[chr1:63428916-63429086],17.79503697,0.006765351,0.023652093,6,99,18,12
seq770_[chr18:59303374-59303544],2.391715877,0.880384103,0.925649407,6,81,18,12
seq771_[chr18:59561606-59561776],10.15794286,0.118156352,0.241017245,6,82,18,12
seq772_[chr18:65301867-65302037],11.33628899,0.078522698,0.176825416,6,84,18,12
seq773_[chr18:67546388-67546558],9.833193114,0.131854669,0.25923309,6,48,18,12
seq774_[chr18:69758719-69758889],16.32657924,0.01210439,0.038618078,6,85,18,12
seq775_[chr19:3046253-3046423],4.907697681,0.555705047,0.697314294,6,99,18,12
seq776_[chr19:3968792-3968962],173.0317035,1.02E-34,8.01E-33,6,98,18,12
seq777_[chr19:3971214-3971384],27.19726482,0.000132989,0.000775237,6,98,18,12
seq778_[chr19:4414846-4415016],4.915207516,0.554733594,0.696751671,6,80,18,12
seq779_[chr19:4415416-4415586],14.03829427,0.029211309,0.080641374,6,98,18,12
seq78_[chr1:64959705-64959875],9.95355632,0.126621538,0.251965367,6,99,18,12
seq780_[chr19:5193435-5193605],125.7298361,1.02E-24,5.21E-23,6,96,18,12
seq781_[chr19:5492824-5492994],15.93958422,0.014081943,0.043520066,6,98,18,12
seq782_[chr19:5499292-5499462],27.50843694,0.000116255,0.000683672,6,99,18,12
seq783_[chr19:5804130-5804300],22.22513612,0.001102213,0.004951595,6,99,18,12
seq784_[chr19:6743993-6744163],26.77948344,0.000159249,0.000906496,6,83,18,12
seq785_[chr19:6767304-6767474],7.919747487,0.244041986,0.402555944,6,99,18,12
seq786_[chr19:6767558-6767728],3.914824898,0.688201852,0.799550691,6,98,18,12
seq787_[chr19:8094028-8094198],2.976699232,0.811765596,0.883391973,6,97,18,12
seq788_[chr19:8185722-8185892],7.695753506,0.261251195,0.42049141,6,62,18,12
seq789_[chr19:8740899-8741069],7.256642933,0.29776384,0.459052587,6,99,18,12
seq79_[chr1:64963265-64963435],10.47567556,0.10599721,0.223603043,6,78,18,12
seq790_[chr19:9165593-9165763],9.237858861,0.16063633,0.299674497,6,98,18,12
seq791_[chr19:9760175-9760345],9.406837775,0.1519573,0.288124019,6,63,18,12
seq792_[chr19:17246400-17246570],25.9330089,0.000229132,0.00123564,6,99,18,12
seq793_[chr19:18365973-18366143],75.64799525,2.82E-14,5.97E-13,6,99,18,12
seq794_[chr19:20178808-20178978],6.951357038,0.325369128,0.488603922,6,82,18,12
seq795_[chr19:21787405-21787575],11.01076275,0.088044366,0.193017342,6,76,18,12
seq796_[chr19:31909995-31910165],39.55670525,5.57E-07,5.04E-06,6,97,18,12
seq797_[chr19:38878755-38878925],18.22447099,0.005695046,0.020228802,6,99,18,12
seq798_[chr19:41488816-41488986],2.829147966,0.829964821,0.894428108,6,82,18,12
seq799_[chr19:45579702-45579872],8.590562659,0.197947355,0.348614809,6,98,18,12
seq8_[chr1:4094510-4094680],19.91672913,0.002865499,0.01130917,6,86,18,12
seq80_[chr1:68698122-68698292],73.41063617,8.15E-14,1.63E-12,6,98,18,12
seq800_[chr19:45582398-45582568],75.75283299,2.69E-14,5.72E-13,6,99,18,12
seq801_[chr19:48323193-48323363],8.947259504,0.176565958,0.320821736,6,95,18,12
seq802_[chr19:48902022-48902192],32.54697452,1.28E-05,9.15E-05,6,96,18,12
seq803_[chr19:48903339-48903509],13.21002265,0.039819392,0.10329003,6,98,18,12
seq804_[chr19:48903864-48904034],29.43532978,5.03E-05,0.00031763,6,89,18,12
seq805_[chr19:51911130-51911300],4.190203768,0.650954076,0.774706395,6,84,18,12
seq806_[chr19:52192365-52192535],15.72851728,0.015287729,0.046597836,6,98,18,12
seq807_[chr19:52408231-52408401],18.69373734,0.004713377,0.017177068,6,97,18,12
seq808_[chr19:54098636-54098806],45.15294218,4.36E-08,4.58E-07,6,79,18,12
seq81_[chr1:68759775-68759945],5.008660862,0.542702775,0.688129553,6,78,18,12
seq810_[chr19:54336166-54336336],8.510979937,0.203004879,0.354161753,6,95,18,12
seq811_[chr19:55727868-55728038],109.1727445,3.04E-21,1.14E-19,6,99,18,12
seq812_[chr19:55728414-55728584],5.00553907,0.543102884,0.688309269,6,97,18,12
seq813_[chr2:152129-152299],32.574339,1.27E-05,9.07E-05,6,81,18,12
seq814_[chr2:1629252-1629422],351.2380391,8.37E-73,1.72E-70,6,98,18,12
seq815_[chr2:6086624-6086794],3.737380076,0.712165415,0.815302392,6,78,18,12
seq816_[chr2:8018831-8019001],5.553414083,0.475024541,0.629584765,6,87,18,12
seq817_[chr2:8019309-8019479],5.986782362,0.424672363,0.586813472,6,90,18,12
seq818_[chr2:8031588-8031758],6.332482498,0.386993796,0.553679631,6,68,18,12
seq819_[chr2:8357954-8358124],55.9715406,2.95E-10,3.97E-09,6,85,18,12
seq82_[chr1:69442969-69443139],24.37168149,0.000446101,0.002242093,6,74,18,12
seq820_[chr2:8776917-8777087],7.117563741,0.310111764,0.472097203,6,84,18,12
seq821_[chr2:8778577-8778747],8.363640868,0.212653904,0.366673139,6,99,18,12
seq822_[chr2:8782592-8782762],1.023800654,0.984693957,0.989149586,6,89,18,12
seq823_[chr2:8818942-8819112],17.57691427,0.007381239,0.025209769,6,99,18,12
seq824_[chr2:17720205-17720375],35.51015693,3.43E-06,2.82E-05,6,99,18,12
seq825_[chr2:17721823-17721993],22.86242316,0.00084389,0.003909781,6,99,18,12
seq826_[chr2:21599829-21599999],6.320101455,0.388303578,0.554421917,6,83,18,12
seq827_[chr2:22917828-22917998],19.51969911,0.003370301,0.012953855,6,87,18,12
seq828_[chr2:27070636-27070806],3.752852337,0.710080338,0.815206271,6,99,18,12
seq829_[chr2:27072015-27072185],8.61541049,0.196390125,0.347399265,6,99,18,12
seq83_[chr1:75540913-75541083],16.35198725,0.011984361,0.038328468,6,84,18,12
seq830_[chr2:27135488-27135658],26.56303239,0.000174805,0.000981391,6,92,18,12
seq831_[chr2:27137235-27137405],13.44623821,0.036472263,0.096678715,6,99,18,12
seq832_[chr2:36498299-36498469],9.018426418,0.172544431,0.317449204,6,56,18,12
seq833_[chr2:36688524-36688694],61.19228653,2.58E-11,4.11E-10,6,81,18,12
seq834_[chr2:37062037-37062207],4.94647852,0.550695802,0.693472342,6,66,18,12
seq835_[chr2:37416942-37417112],4.44739033,0.616367125,0.747043685,6,82,18,12
seq836_[chr2:37423583-37423753],244.1861391,7.16E-50,9.09E-48,6,99,18,12
seq837_[chr2:37617670-37617840],62.0485392,1.72E-11,2.80E-10,6,74,18,12
seq838_[chr2:42164744-42164914],9.014659885,0.172755286,0.317471765,6,85,18,12
seq839_[chr2:42174943-42175113],10.17884192,0.117319837,0.239774914,6,79,18,12
seq84_[chr1:79659085-79659255],4.683391833,0.585012918,0.720962346,6,83,18,12
seq840_[chr2:42175712-42175882],42.91129363,1.21E-07,1.22E-06,6,79,18,12
seq841_[chr2:42257448-42257618],57.014027,1.82E-10,2.51E-09,6,99,18,12
seq842_[chr2:42274000-42274170],128.7679069,2.34E-25,1.27E-23,6,98,18,12
seq843_[chr2:42274868-42275038],5.284046601,0.507931743,0.657708363,6,48,18,12
seq844_[chr2:42965997-42966167],56.69483967,2.11E-10,2.86E-09,6,87,18,12
seq845_[chr2:43152062-43152232],8.085713033,0.231890787,0.388770961,6,99,18,12
seq846_[chr2:43158694-43158864],11.0135367,0.087958964,0.193017342,6,99,18,12
seq847_[chr2:44697409-44697579],1.003434275,0.9854818,0.989194994,6,87,18,12
seq848_[chr2:44932611-44932781],5.83979907,0.44137325,0.602365952,6,82,18,12
seq849_[chr2:44933416-44933586],9.018372196,0.172547465,0.317449204,6,88,18,12
seq85_[chr1:79728487-79728657],7.795474299,0.253473637,0.412494667,6,80,18,12
seq850_[chr2:45200341-45200511],8.926461302,0.177756272,0.322018889,6,87,18,12
seq851_[chr2:46063618-46063788],9.534536528,0.145672172,0.279589817,6,99,18,12
seq852_[chr2:47630110-47630280],25.95586299,0.000226897,0.001226073,6,99,18,12
seq853_[chr2:53339841-53340011],64.15747039,6.41E-12,1.11E-10,6,91,18,12
seq854_[chr2:58023768-58023938],30.39921991,3.30E-05,0.000214949,6,87,18,12
seq855_[chr2:58724444-58724614],5.721512667,0.455098064,0.613575701,6,82,18,12
seq856_[chr2:58762422-58762592],7.371618731,0.287842464,0.447381753,6,67,18,12
seq857_[chr2:58767177-58767347],23.61950001,0.000613452,0.002965947,6,82,18,12
seq858_[chr2:61809432-61809602],5.341719728,0.50078953,0.651735861,6,82,18,12
seq859_[chr2:63277472-63277642],7.603188688,0.268639261,0.429307134,6,98,18,12
seq86_[chr1:81716499-81716669],6.175243492,0.40384844,0.568932969,6,83,18,12
seq860_[chr2:64478961-64479131],17.55388138,0.007449358,0.025353442,6,80,18,12
seq861_[chr2:64844831-64845001],8.968541192,0.175355038,0.320401797,6,98,18,12
seq862_[chr2:64854559-64854729],10.32520937,0.111608031,0.23187878,6,99,18,12
seq863_[chr2:67558765-67558935],11.97338396,0.062565216,0.146978604,6,86,18,12
seq864_[chr2:68157350-68157520],2.170236879,0.903394881,0.938530762,6,81,18,12
seq865_[chr2:69135637-69135807],77.89027936,9.74E-15,2.14E-13,6,92,18,12
seq866_[chr2:70994440-70994610],3.857615213,0.695937818,0.804329001,6,66,18,12
seq867_[chr2:70995246-70995416],26.5533379,0.000175536,0.000982409,6,97,18,12
seq868_[chr2:71166250-71166420],9.144892364,0.165591909,0.306771102,6,97,18,12
seq869_[chr2:77320817-77320987],14.00666827,0.029561764,0.081271971,6,84,18,12
seq870_[chr2:77748717-77748887],1.660518331,0.948128438,0.967003889,6,84,18,12
seq871_[chr2:77749350-77749520],6.238469481,0.397013798,0.561774389,6,88,18,12
seq872_[chr2:78760186-78760356],2.243848449,0.895961776,0.936016538,6,80,18,12
seq873_[chr2:80059767-80059937],20.60594282,0.002158827,0.008902654,6,87,18,12
seq874_[chr2:83511293-83511463],57.31270198,1.58E-10,2.21E-09,6,79,18,12
seq875_[chr2:89157650-89157820],15.87590193,0.01443578,0.044458865,6,99,18,12
seq876_[chr2:97573312-97573482],9.834382214,0.131802048,0.25923309,6,99,18,12
seq877_[chr2:101730087-101730257],11.2795172,0.08011235,0.179645875,6,68,18,12
seq878_[chr2:106781672-106781842],6.041996561,0.418502091,0.58158037,6,63,18,12
seq879_[chr2:111045968-111046138],61.69665882,2.03E-11,3.28E-10,6,81,18,12
seq88_[chr1:85077604-85077774],2.847579796,0.827719696,0.893371692,6,40,18,12
seq880_[chr2:111435653-111435823],118.6094671,3.19E-23,1.39E-21,6,99,18,12
seq881_[chr2:111490202-111490372],82.49268428,1.09E-15,2.62E-14,6,99,18,12
seq882_[chr2:111526296-111526466],4.142468381,0.657403425,0.779751881,6,89,18,12
seq883_[chr2:111528401-111528571],17.80378337,0.006741723,0.023631513,6,92,18,12
seq884_[chr2:111529929-111530099],23.29337466,0.000703945,0.003330921,6,99,18,12
seq885_[chr2:120458573-120458743],13.16585495,0.040476472,0.104625298,6,91,18,12
seq886_[chr2:120995686-120995856],110.236438,1.82E-21,6.92E-20,6,84,18,12
seq887_[chr2:121467289-121467459],9.953012677,0.126644755,0.251965367,6,78,18,12
seq888_[chr2:129018415-129018585],20.27688384,0.002471929,0.009947461,6,99,18,12
seq889_[chr2:131630175-131630345],2.074146032,0.912754575,0.944043016,6,72,18,12
seq89_[chr1:85810071-85810241],122.0594361,6.02E-24,2.81E-22,6,98,18,12
seq890_[chr2:140382996-140383166],4.555315924,0.601972045,0.734609953,6,66,18,12
seq891_[chr2:142369049-142369219],2.475145909,0.871238799,0.919928719,6,84,18,12
seq892_[chr2:144360910-144361080],20.46446797,0.002288381,0.009321478,6,75,18,12
seq893_[chr2:144649731-144649901],4.403686063,0.622219594,0.751742857,6,77,18,12
seq894_[chr2:144694851-144695021],5.89953282,0.434538185,0.596398621,6,98,18,12
seq895_[chr2:145268285-145268455],19.7946528,0.003012295,0.011749274,6,81,18,12
seq896_[chr2:145281932-145282102],50.37676815,3.95E-09,4.72E-08,6,98,18,12
seq897_[chr2:147298029-147298199],26.33306727,0.000192976,0.001062164,6,85,18,12
seq898_[chr2:151184350-151184520],41.84158364,1.98E-07,1.92E-06,6,86,18,12
seq899_[chr2:151592583-151592753],6.046471874,0.418004471,0.58158037,6,76,18,12
seq9_[chr1:5827190-5827360],92.92528351,7.47E-18,2.16E-16,6,83,18,12
seq90_[chr1:94188366-94188536],20.30297497,0.002445564,0.009856251,6,67,18,12
seq900_[chr2:151968527-151968697],28.38289345,7.96E-05,0.00047853,6,75,18,12
seq901_[chr2:153309744-153309914],5.560525009,0.47417183,0.629584765,6,79,18,12
seq902_[chr2:155446167-155446337],2.062366808,0.913874241,0.944360348,6,70,18,12
seq903_[chr2:156584074-156584244],6.885373177,0.331578119,0.495692542,6,78,18,12
seq904_[chr2:157487561-157487731],8.575133127,0.198919551,0.349092018,6,83,18,12
seq905_[chr2:161781638-161781808],21.17155739,0.001708829,0.007248918,6,70,18,12
seq906_[chr2:164415159-164415329],5.266136676,0.510159982,0.659420763,6,82,18,12
seq907_[chr2:168188308-168188478],8.143911762,0.227748469,0.384975838,6,99,18,12
seq908_[chr2:169409040-169409210],22.73850932,0.000888959,0.004083082,6,90,18,12
seq909_[chr2:170221215-170221385],13.37001226,0.037522273,0.098756547,6,98,18,12
seq91_[chr1:94294748-94294918],20.99011534,0.001842133,0.007728256,6,89,18,12
seq910_[chr2:171211127-171211297],5.559156323,0.474335891,0.629584765,6,87,18,12
seq911_[chr2:171217175-171217345],4.946140034,0.550739444,0.693472342,6,85,18,12
seq912_[chr2:171359345-171359515],11.15420296,0.08372593,0.186300625,6,79,18,12
seq913_[chr2:171536911-171537081],4.757984565,0.575206864,0.7140499,6,59,18,12
seq914_[chr2:171571720-171571890],5.686352154,0.459225591,0.617867158,6,97,18,12
seq915_[chr2:171573474-171573644],7.754053329,0.256681435,0.41593634,6,97,18,12
seq916_[chr2:172172876-172173046],13.46059085,0.03627768,0.096258704,6,69,18,12
seq917_[chr2:174989082-174989252],1.192052485,0.977275444,0.985786363,6,60,18,12
seq918_[chr2:177190616-177190786],11.01174459,0.088014129,0.193017342,6,87,18,12
seq919_[chr2:177314717-177314887],42.29317897,1.61E-07,1.58E-06,6,68,18,12
seq92_[chr1:96468998-96469168],3.745687567,0.711046015,0.815206271,6,86,18,12
seq920_[chr2:177628921-177629091],479.9038729,1.79E-100,5.96E-98,6,99,18,12
seq921_[chr2:180921505-180921675],13.67003098,0.033547322,0.090272793,6,93,18,12
seq922_[chr2:180922729-180922899],8.488614716,0.204445544,0.355975771,6,69,18,12
seq923_[chr2:183731251-183731421],6.068975973,0.415507909,0.579535639,6,98,18,12
seq924_[chr2:187120672-187120842],21.03582209,0.001807624,0.007619479,6,83,18,12
seq925_[chr2:189168415-189168585],34.64806853,5.04E-06,3.99E-05,6,88,18,12
seq926_[chr2:196670169-196670339],2.119139923,0.90842153,0.941647843,6,88,18,12
seq927_[chr2:198443128-198443298],17.01557037,0.009226191,0.030494507,6,85,18,12
seq928_[chr2:198452085-198452255],111.7128229,8.92E-22,3.55E-20,6,82,18,12
seq929_[chr2:202888286-202888456],20.76574441,0.002021104,0.008406369,6,98,18,12
seq93_[chr1:108479245-108479415],8.506537106,0.203290387,0.354195939,6,83,18,12
seq930_[chr2:202898315-202898485],45.67368491,3.44E-08,3.68E-07,6,98,18,12
seq931_[chr2:206004805-206004975],27.08742228,0.000139447,0.000809341,6,99,18,12
seq932_[chr2:206347114-206347284],6.690428621,0.350427075,0.517742989,6,81,18,12
seq933_[chr2:206547084-206547254],4.733670704,0.578397032,0.715675659,6,98,18,12
seq934_[chr2:206585430-206585600],9.761296667,0.135070971,0.263579877,6,98,18,12
seq935_[chr2:206949235-206949405],3.153340549,0.789369557,0.871032989,6,97,18,12
seq936_[chr2:207094992-207095162],2.48805738,0.869801833,0.919619473,6,88,18,12
seq937_[chr2:208199520-208199690],3.712040625,0.715577737,0.816751967,6,90,18,12
seq938_[chr2:208634682-208634852],23.94753362,0.000533991,0.002613381,6,98,18,12
seq939_[chr2:208761305-208761475],7.552315499,0.272769382,0.432019997,6,74,18,12
seq94_[chr1:110502679-110502849],5.479391302,0.483951038,0.637293903,6,76,18,12
seq940_[chr2:210002950-210003120],7.467841716,0.279737261,0.439917392,6,75,18,12
seq941_[chr2:210164077-210164247],6.114854412,0.410447882,0.575238772,6,84,18,12
seq942_[chr2:210164362-210164532],3.01814911,0.806565502,0.880346453,6,83,18,12
seq943_[chr2:210165530-210165700],3.299768327,0.770390479,0.858249432,6,80,18,12
seq944_[chr2:210479842-210480012],9.345701687,0.155049095,0.292321861,6,54,18,12
seq945_[chr2:217850631-217850801],8.132521537,0.228554366,0.385327811,6,93,18,12
seq946_[chr2:220430384-220430554],47.48283989,1.50E-08,1.66E-07,6,87,18,12
seq947_[chr2:221239827-221239997],6.31384976,0.388966072,0.554421917,6,84,18,12
